ID,X,Y,Z,GripperAngle,GripperRotation,GripperWidth,Easing,Brightness,r,g,b,X1,Y1,Animation
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6,0,0,0,0,0,0,0,0,0,0,0,0,0,9
7,96,100,208,17,46,90,250,255,0,255,0,1000,1500,0
8,-124,100,208,17,180,90,200,255,0,255,0,1300,1500,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,3
10,96,100,208,17,46,90,250,255,0,255,0,1000,1500,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,4
12,0,0,0,0,0,0,0,0,0,0,0,0,0,10
13,0,0,0,0,0,0,0,0,0,0,0,0,0,5
14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
15,0,0,0,0,0,0,0,0,0,0,0,0,0,6
16,0,0,0,0,0,0,0,0,0,0,0,0,0,4
17,0,0,0,0,0,0,0,0,0,0,0,0,0,6
18,0,0,0,0,0,0,0,0,0,0,0,0,0,7
19,0,0,0,0,0,0,0,0,0,0,0,0,0,4
20,0,0,0,0,0,0,0,0,0,0,0,0,0,10
21,-300,0,208,17.0,134,90,200,255,0,255,0,1300,1500,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,8
23,-300,0,208,17.0,134,90,200,255,0,255,0,1300,1500,0
24,-300,0,208,17.0,134,90,200,255,0,255,0,1300,1500,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,8
26,-300,0,208,17.0,134,90,200,255,0,255,0,1300,1500,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,8
28,-300,0,208,17.0,134,90,200,255,0,255,0,1300,1500,0
29,-300,0,208,17.0,134,90,200,255,0,255,0,1500,1500,0
30,-300,0,228,3,134,90,200,255,0,255,0,1500,1500,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,11
32,-300,0,208,17.0,134,90,200,255,0,255,0,1300,1500,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,8
34,0,0,0,0,0,0,0,0,0,0,0,0,0,21
35,0,0,0,0,0,0,0,0,0,0,0,0,0,11
36,-300,0,208,17.0,134,90,200,255,0,255,0,1300,1500,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,8
38,-300,0,208,17.0,134,90,200,255,0,255,0,1300,1500,0
39,-300,0,208,17.0,134,90,200,255,0,255,0,1300,1500,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,8
41,-124,100,208,17,180,90,200,255,0,255,0,1600,1500,0
42,-300,0,208,17.0,134,90,200,255,0,255,0,1300,1500,0
43,-300,0,208,17.0,134,90,200,255,0,255,0,1500,1500,0
44,-300,0,208,17.0,134,90,200,255,0,255,0,1300,1500,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,12
46,-300,0,208,17.0,134,90,200,255,0,255,0,0,0,0
47,96,100,208,17,46,90,250,255,0,255,0,0,0,0
48,-24.0,224.0,316.0,1.0,178,86,200,33,0,255,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,10
50,0,0,0,0,0,0,0,0,0,0,0,0,0,24
51,0,0,0,0,0,0,0,0,0,0,0,0,0,20
52,0,0,0,0,0,0,0,0,0,0,0,0,0,24
53,0,0,0,0,0,0,0,0,0,0,0,0,0,21
54,0,0,0,0,0,0,0,0,0,0,0,0,0,21
55,0,0,0,0,0,0,0,0,0,0,0,0,0,27
56,0,0,0,0,0,0,0,0,0,0,0,0,0,13
57,0,0,0,0,0,0,0,0,0,0,0,0,0,2
58,0,0,0,0,0,0,0,0,0,0,0,0,0,22
59,0,0,0,0,0,0,0,0,0,0,0,0,0,12
60,-300,0,208,17.0,134,90,200,255,0,255,0,1300,1500,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,8
62,-300,0,208,17.0,134,90,200,255,0,255,0,1300,1500,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,22
64,0,0,0,0,0,0,0,0,0,0,0,0,0,28
65,0,0,0,0,0,0,0,0,0,0,0,0,0,11
66,0,0,0,0,0,0,0,0,0,0,0,0,0,20
67,0,0,0,0,0,0,0,0,0,0,0,0,0,4
68,-300,0,208,17.0,134,90,200,255,255,255,0,1700,1600,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,20
70,-300,0,208,17.0,134,90,200,255,255,255,0,1500,1800,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,8
72,-300,0,208,17.0,134,90,200,255,0,255,0,1000,1500,0
73,-300,0,208,17.0,134,90,200,255,0,255,0,1000,1500,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,8
75,0,0,0,0,0,0,0,0,0,0,0,0,0,10
76,0,0,0,0,0,0,0,0,0,0,0,0,0,3
77,0,0,0,0,0,0,0,0,0,0,0,0,0,9
78,0,0,0,0,0,0,0,0,0,0,0,0,0,19
79,0,0,0,0,0,0,0,0,0,0,0,0,0,10
80,0,0,0,0,0,0,0,0,0,0,0,0,0,4
81,0,0,0,0,0,0,0,0,0,0,0,0,0,4
82,0,0,0,0,0,0,0,0,0,0,0,0,0,4
83,0,0,0,0,0,0,0,0,0,0,0,0,0,4
84,0,0,0,0,0,0,0,0,0,0,0,0,0,4
85,0,0,0,0,0,0,0,0,0,0,0,0,0,4
86,0,0,0,0,0,0,0,0,0,0,0,0,0,4
87,0,0,0,0,0,0,0,0,0,0,0,0,0,4
88,0,0,0,0,0,0,0,0,0,0,0,0,0,4
89,0,0,0,0,0,0,0,0,0,0,0,0,0,4
90,0,0,0,0,0,0,0,0,0,0,0,0,0,4
91,0,0,0,0,0,0,0,0,0,0,0,0,0,4
92,0,0,0,0,0,0,0,0,0,0,0,0,0,4
93,0,0,0,0,0,0,0,0,0,0,0,0,0,4
94,0,0,0,0,0,0,0,0,0,0,0,0,0,4
95,0,0,0,0,0,0,0,0,0,0,0,0,0,4
96,0,0,0,0,0,0,0,0,0,0,0,0,0,4
97,0,0,0,0,0,0,0,0,0,0,0,0,0,4
98,0,0,0,0,0,0,0,0,0,0,0,0,0,4
99,0,0,0,0,0,0,0,0,0,0,0,0,0,4
100,0,0,0,0,0,0,0,0,0,0,0,0,0,4
101,0,0,0,0,0,0,0,0,0,0,0,0,0,4
102,0,0,0,0,0,0,0,0,0,0,0,0,0,4
103,0,0,0,0,0,0,0,0,0,0,0,0,0,4
104,0,0,0,0,0,0,0,0,0,0,0,0,0,4
105,0,0,0,0,0,0,0,0,0,0,0,0,0,25
106,0,0,0,0,0,0,0,0,0,0,0,0,0,26
107,-24.0,224.0,316.0,1.0,178,86,200,33,0,255,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0,0,0,13
